"id","name","lon","lat"
"109144064","Station Erftstadt, Einkaufscenter",6.815366,50.802062
"135416255",Station virtuell - U Alt-Tegel (Nordwest),13.282396,52.590659
"172294162",Station Kłobucka - Jurajska ,20.992412,52.1637
"14403211",Station HR-CTPark sever,18.26803,49.769835
"138361809",Station virtuell - Sonnenallee/Hänselstraße,13.483233,52.480084
"5368416",Station Obelisco,-15.422879,28.112637
"107234603",Station virtuell - Jelbi U Cottbusser Platz,13.59703,52.53471
"116474003",Station Messe-Prater U2,16.406163,48.217295
"180904858",Station virtuell - Lützowstraße/Lützowplatz,13.354018,52.505425
"134095790",Station virtuell - Unter den Linden (HU Berlin),13.392192,52.517487
"136245102",Station virtuell - Prager Platz (Süd),13.332996,52.492796
"184927684",Station virtuell - Brunsbütteler Damm/Nauener Straße,13.181441,52.534155
"27578955",Station Dolní náměstí,17.905959,49.939191
"140267075",Station virtuell - Luxemburger Straße (Campusbibliothek),13.440302,52.501884
"8341034",Station VHS/Congressforum,8.353418,49.530442
"171090909",Station virtuell - Niemetzstraße (Saalestraße),13.452267,52.471165
"2585942",Station Metro Trocka,21.056083,52.275799
"172295258",Station Kleszczowa – Krańcowa,20.923586,52.196958
"25315332",Station Górki Szymona,21.02435,52.051776
"101399311",Station LIDL Bonner Wall,6.951851,50.918
"113571",Station Vinckeplatz,7.455822,51.503293
"53215535",Station Am Brauhaus,13.778804,51.068312
"27604351",Station P3-Korunní - Perunova,14.45438,50.07552
"137231651",Station virtuell - Bergstraße/Bismarckstraße,13.339088,52.458532
"34612632",Station 86188 Steinerne Furt,10.92032,48.39216
"2585400",Station Prosta - Wronia,20.98869,52.23145
"3165048",Station S Hackescher Markt,13.401084,52.522325
"14083322",Station PRAGA 306,21.063056,52.24723
"137160694",Station virtuell - IKEA-Tempelhof,13.420099,52.567262
"109148452","Station Pulheim, Segmüller-Allee",6.813398,50.987114
"91738832",Station 24 BLANQUERNA-COMTE SALLENT,2.651278,39.578028
"34475982",Station Odenthal-Eikamp Schule,7.183917,51.020889
"175613178",Station MOBIpunkt Langebrück,13.841117,51.126927
"91761204",Station 68 GREMI D' HORTELANS-PENITENCIARI,2.655028,39.599611
"148118776",Station P3 - Slezská,14.44911,50.07604
"44749977",Station Oberkirch / CALIDA,8.106306,47.162929
"2709799",Station Groß Enzersdorf / Sachsengang,16.562794,48.196554
"12706949",Station Kaufland Olomoucká,17.123362,49.482544
"13385346",Station P-Vřesinská *(navíc 15min na odjezd),18.158445,49.822305
"41030102",Station Rungholtplatz,10.076831,54.361297
"19501876",Station Wallace High School,-3.926938,56.140105
"16340698","Station Kosmonautów / Fieldorfa, szpital wojewódzki",16.90591,51.14221
"13385720",Station P-Hlavní třída - horní část,18.16464,49.831107
"283740",Station Tropenhaus Bansin 5621,14.138573,53.969725
"29282129",Station Uni 8,8.492819,52.039629
"7059308",Station Kardinalplatz,14.312117,46.623896
"169957244",Station virtuell - Birkbuschstraße/Dalangweg,13.329926,52.445386
"135997257",Station virtuell - Koppenplatz,13.398128,52.528477
"106494248",Station Südstraße,7.209677,50.790678
"113209491",Station P8 - Březinova ,14.454575,50.094637
"10279995",Station Łowicz Przedmieście,19.94667,52.093827
"135416952",Station virtuell - U Alt-Tegel (Südwest),13.283072,52.589939
"53697507",Station Mainzer Straße,8.255213,50.058507
"138074206",Station virtuell - Apostel-Paulus-Straße/Münchener Straße,13.342668,52.487803
"118030845",Station Vidilica,16.430329,43.508128
"47344869",Station Park Bogucki,19.036866,50.263199
"56006407","Station Mengenich, Heinrich-Mann-Straße",6.86511,50.98321
"40710644",Station Gruberstraße,14.3003,48.30301
"98737806",Station Bezručova,16.601899,49.187125
"138172048",Station virtuell - M Bersarinplatz (Mühsamstraße),13.412561,52.541165
"5560267",Station Diakonie-Kliniken,9.463214,51.314803
"106719649","Station PUENTE CASTRO, CTRO. DE INTERPRETACIÓN DE LAS TRES CULTURAS; AV. MADRID",-5.55245,42.58106
"36671587",Station IF_01,24.709883,48.922711
"91758393",Station 56 ES BALUARD DES PRÍNCEP,2.656778,39.564972
"13410699","Station P-U Soudu, Francouzská",18.185454,49.827704
"30240394",Station Rösrath Bahnhof,7.182722,50.900889
"136248389",Station virtuell - Schloßstraße/Ahornstraße,13.323475,52.460668
"113555",Station Phoenix See / Hörder Burg,7.503458,51.491234
"127000195",Station Vilbeler Straße,8.686029,50.11694
"45335351",Station Saltholmen,11.845418,57.660559
"2585868",Station al. Rzeczypospolitej - Klimczaka,21.072325,52.160626
"39678662",Station Demostation 4 Barcelona,2.134116,41.324757
"4648298",Station Rathaus,8.411059,49.995043
"3581070",Station ul. Arciszewskiego,15.542635,54.177299
"139040571",Station virtuell - Klosterstraße/Rolandufer,13.412177,52.515199
"98787061",Station Marina Portorož,13.597416,45.505144
"11323",Station Breitenbrunn / Seebad,16.764514,47.91686
"5367878",Station Plaza Manuel Becerra,-15.421345,28.15026
"71549692",Station Za Prachárnou,15.56509,49.398566
"28842747",Station Langwasser Mitte,11.13223,49.404132
"61072144",Station Wahn S-Bahn,7.079996,50.857679
"135414076",Station virtuell - U Holzhauser Straße (West),13.295222,52.576203
"348027",Station Salzgasse,8.438148,49.317918
"68582",Station Friedrich Ebert Str. / Volksbank,8.384698,51.908945
"44242208",Station Písek - ul. Tyršova u stánku (zpevněná plocha),14.150348,49.313139
"41494237",Station 1 Khyber Pass Road,174.761233,-36.86415
"136261164",Station virtuell - Gervinusstraße/Droysenstraße,13.300516,52.503283
"7823049",Station Molki / Reussbühl,8.282018,47.065701
"160414621",Station Krajíčkova,15.865827,49.211727
"9359199",Station Nordpark,6.39153,51.17587
"88648703",Station Grossmatte Ost 10,8.267507,47.048568
"12993557",Station Am Gesundheitspark,7.036614,51.029999
"53121994",Station Kino Lipa,18.10752,48.31019
"138173135",Station virtuell - Eberswalder Straße (Friedrich-Ludwig-Jahn-Sportpark),13.40788,52.541128
"165067995",Station P3 - Baranova,14.457876,50.079239
"7058943",Station P&R Sirius,14.319519,46.619378
"137264646",Station virtuell - Scharnweberstraße/Finowstraße,13.468423,52.512421
"16732441",Station Kąpielisko Krubin,20.64875,52.84584
"138313730",Station virtuell - Rathaus Pankow (Breite Straße),13.404773,52.56968
"44941287",Station virtuell - EDEKA Schatz,13.355454,52.541785
"13366613",Station MAR-Hospodářká komora,18.264626,49.827185
"164197644",Station virtuell - Reinickendorfer Straße/Plantegenstraße,13.369179,52.546312
"50384",Station Platz von Netanya,7.464033,51.515115
"31409740",Station ZŠ Řezníčkova,17.2864,49.592
"194826996",Station Hebronberg/ Wehrdaer Straße,8.762167,50.831831
"30090011",Station Svojsíkova - kruhový objezd (+15 minut na příjezd),14.90187,50.42846
"9575576",Station Hauptbahnhof - Platz der Republik,6.448,51.19642
"164189026",Station virtuell - Kynaststraße/Paul und Paula Ufer,13.435616,52.510995
"2585906",Station Belgradzka - Rosoła,21.066076,52.142018
"6344959",Station Swansea University Bay Campus,-3.87902,51.61855
"136250624",Station virtuell - Tegeler Weg/Kamminer Straße,13.300694,52.522703
"29311598",Station Osiedle Kłodnica,18.166593,50.348081
"264316",Station Bridge Street Subway - ELECTRIC,-4.25885,55.8525
"4919800",Station Eschersheimer Landstraße,8.671582,50.13136
"4726851",Station DHBW Mannheim - Campus Eppelheim,8.626451,49.408083
"66658",Station Königsallee / Graf-Adolf-Platz,6.77842,51.219818
"57749",Station Dortustraße / Charlottenstraße,13.052949,52.399205
"144435944",Station Wiener Platz 3 (R),7.005409,50.961454
"187164",Station Michelhausen / Bahnhof Tullnerfeld,15.996818,48.294208
"136240756",Station virtuell - S Hohenzollerndamm (Südwest),13.300169,52.487432
"126389824",Station virtuell Jelbi-Punkt Machandelweg,13.251802,52.519821
"11268085",Station Szpitalna,18.941067,50.275673
"77054807",Station Schwimmbad,12.168385,47.58994
"162850331",Station 01. Plaça de Joan XXIII,1.980556,41.285288
"12499528",Station Świdnicka / Piłsudskiego (Hotel Scandic),17.028528,51.101322
"123855596","Station Kockica, Prisavlje 14",16.043841,45.812507
"49211002",Station Lundbybadet,11.927182,57.719251
"32135544",Station Odenthal Voiswinkel,7.123833,51.017056
"170839465",Station virtuell - EDEKA Friedrich (Raoul-Wallenberg-Straße),13.55229,52.549324
"6009689",Station os. Piastowskie,16.94411,52.39038
"149878288",Station Borsteler Weg,10.214882,53.348598
"214463633",Station P8 - Prima (Na Žertvách),14.476353,50.104344
"213691",Station 99 Quay Street,174.766624,-36.843087
"221345228",Station P7 - Korunovační x Jana Zajíce,14.418194,50.101067
"16334613",Station Hermanowska / Kołobrzeska,16.95059,51.12353
"34948051",Station 136 Ponsonby Road,174.746518,-36.856424
"9122390",Station Wojska Polskiego/Wyszyńskiego,15.4823,51.939282
"175428358",Station KĄPIELISKO ZDRÓJ ul. Witczaka ,18.566816,49.952131
"60674256",Station VIA PESCARIA - VIA SAN COLOMBANO,9.67528,45.71662
"27524242",Station Lubelska/Łukowska,16.920266,51.165419
"4919422",Station Lokalbahnhof,8.691108,50.101918
"76246285",Station DJH - Jugendherberge Stralsund 57109 01,13.143176,54.267684
"138080260",Station virtuell - Karl-Marx-Straße/Kirchhofstraße,13.425312,52.479136
"208597507",Station Gymnázium Jana Blahoslava - před SPŠ,17.452569,49.446754
"29750717",Station Grand,15.830006,50.210732
